OrderID,OrderLineNumber,ProductID,ProductName,Quantity,UnitPrice,LineTotal,DiscountAmount,TaxAmount
8cbe052b-8ba8-4858-9f75-23b2e6de7a46,1,1532,TrailBlaze Hiking Pants,2,89.99,179.98,0.0,15.75
b67b2a4a-58d9-4b93-bbce-25eba68a906c,1,1581,LED Headlamp - Rechargeable,1,74.99,74.99,0.0,6.56
b67b2a4a-58d9-4b93-bbce-25eba68a906c,2,1571,CozyNights Sleeping Bag,3,159.99,479.97,0.0,42.0
4a6b6b5e-91b3-40dd-9b81-f1e7042b34ca,1,1511,Alpine Explorer Tent,1,449.99,449.99,0.0,39.37
4a6b6b5e-91b3-40dd-9b81-f1e7042b34ca,2,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
4a6b6b5e-91b3-40dd-9b81-f1e7042b34ca,3,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
28c581b6-9105-4774-8dac-d4b8e3425137,1,1542,TrailWalker Hiking Shoes,3,129.99,389.97,0.0,34.12
28c581b6-9105-4774-8dac-d4b8e3425137,2,1561,EcoFire Camping Stove,1,124.99,124.99,0.0,10.94
f518f7a7-42eb-406a-a9e3-cba44860aff2,1,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
f518f7a7-42eb-406a-a9e3-cba44860aff2,2,1541,TrekReady Hiking Boots,1,179.99,179.99,0.0,15.75
f518f7a7-42eb-406a-a9e3-cba44860aff2,3,1551,BaseCamp Folding Table,2,89.99,179.98,0.0,15.75
f518f7a7-42eb-406a-a9e3-cba44860aff2,4,1552,TrekMaster Camping Chair,2,74.99,149.98,0.0,13.12
9e2acac7-4071-4730-bc19-43bdaac3b248,1,1522,SummitClimber Backpack,1,219.99,219.99,0.0,19.25
7697bb68-2408-4861-a162-6cf2d7560462,1,1522,SummitClimber Backpack,3,219.99,659.97,0.0,57.75
7697bb68-2408-4861-a162-6cf2d7560462,2,1543,TrekStar Hiking Sandals,2,89.99,179.98,0.0,15.75
7697bb68-2408-4861-a162-6cf2d7560462,3,1521,Adventurer Pro Backpack,1,189.99,189.99,0.0,16.62
078ea290-2b6e-4440-85e0-cbd1c5903ce7,1,1553,Adventure Dining Table,3,149.99,449.97,0.0,39.37
0773994e-bfe4-42f0-a74f-2aa00c13c368,1,1521,Adventurer Pro Backpack,2,189.99,379.98,0.0,33.25
ed2f89c8-7726-4f06-bdaa-86d16561b7f1,1,1563,CompactCook Camping Stove,2,94.99,189.98,0.0,16.62
ed2f89c8-7726-4f06-bdaa-86d16561b7f1,2,1523,TrailLite Daypack,1,79.99,79.99,0.0,7.0
ed2f89c8-7726-4f06-bdaa-86d16561b7f1,3,1511,Alpine Explorer Tent,3,449.99,1349.97,0.0,118.12
ed2f89c8-7726-4f06-bdaa-86d16561b7f1,4,1541,TrekReady Hiking Boots,3,179.99,539.97,0.0,47.25
dcfc5a8f-4937-447b-9a05-be5c0ae60edd,1,1521,Adventurer Pro Backpack,3,189.99,569.97,0.0,49.87
dcfc5a8f-4937-447b-9a05-be5c0ae60edd,2,1511,Alpine Explorer Tent,2,449.99,899.98,0.0,78.75
169e22b6-42c3-4398-bcdb-6351a69ca3b5,1,1571,CozyNights Sleeping Bag,3,159.99,479.97,0.0,42.0
169e22b6-42c3-4398-bcdb-6351a69ca3b5,2,1571,CozyNights Sleeping Bag,3,159.99,479.97,0.0,42.0
462d0c79-4156-4414-8383-22adce8c51ff,1,1532,TrailBlaze Hiking Pants,2,89.99,179.98,0.0,15.75
462d0c79-4156-4414-8383-22adce8c51ff,2,1531,Summit Breeze Jacket,1,149.99,149.99,0.0,13.12
be512e8d-bd91-4fb3-8b0a-ca5974ee04ae,1,1532,TrailBlaze Hiking Pants,3,89.99,269.97,0.0,23.62
be512e8d-bd91-4fb3-8b0a-ca5974ee04ae,2,1512,SkyView 2-Person Tent,2,329.99,659.98,0.0,57.75
be512e8d-bd91-4fb3-8b0a-ca5974ee04ae,3,1523,TrailLite Daypack,2,79.99,159.98,0.0,14.0
44330fc5-8e10-44df-ba1a-acc506950b19,1,1522,SummitClimber Backpack,1,219.99,219.99,0.0,19.25
44330fc5-8e10-44df-ba1a-acc506950b19,2,1541,TrekReady Hiking Boots,3,179.99,539.97,0.0,47.25
44330fc5-8e10-44df-ba1a-acc506950b19,3,1531,Summit Breeze Jacket,3,149.99,449.97,0.0,39.37
6146f288-a475-411f-abdb-910ebf5736a2,1,1543,TrekStar Hiking Sandals,1,89.99,89.99,0.0,7.87
3ad60de5-a9c6-448d-8528-55f7708e29e7,1,1572,MountainDream Sleeping Bag,3,289.99,869.97,0.0,76.12
3ad60de5-a9c6-448d-8528-55f7708e29e7,2,1511,Alpine Explorer Tent,2,449.99,899.98,0.0,78.75
